EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10104937,CRAWFORD CO., ,01/17/1952,1934,Tornado,0,F2,0,0,250000,0,PA,CST, , ,C,39, ,0,0, , ,.5,400,0, ,0, , ,01/17/1952,1934,41.60,-80.30, , ,"","",1
10001437,MITCHELL CO., ,01/22/1952,700,Tornado,0,F2,0,0,250000,0,GA,CST, , ,C,205, ,0,0, , ,1.9,350,0, ,0, , ,01/22/1952,700,31.27,-84.02,31.28,-84.00,"","",2
10001438,COLQUITT CO., ,01/22/1952,705,Tornado,0,F2,0,8,250000,0,GA,CST, , ,C,71, ,0,0, , ,6.8,350,0, ,0, , ,01/22/1952,705,31.28,-84.00,31.33,-83.90,"","",3
9979429,TALLAPOOSA CO., ,01/22/1952,900,Tornado,0,F1,0,0,2500,0,AL,CST, , ,C,123, ,0,0, , ,0,33,0, ,0, , ,01/22/1952,900,32.92,-85.97, , ,"","",4
9983009,ARKANSAS CO., ,01/26/1952,1530,Tornado,0,F1,0,0,25000,0,AR,CST, , ,C,1, ,0,0, , ,0,33,0, ,0, , ,01/26/1952,1530,34.42,-91.40, , ,"","",5
9983010,ARKANSAS CO., ,01/26/1952,1600,Tornado,0,F1,0,0,25000,0,AR,CST, , ,C,1, ,0,0, , ,0,33,0, ,0, , ,01/26/1952,1600,34.48,-91.55, , ,"","",6
10001439,MONROE CO., ,01/28/1952,340,Tornado,0,F1,0,0,25000,0,GA,CST, , ,C,207, ,0,0, , ,3.8,400,0, ,0, , ,01/28/1952,340,33.03,-83.97,33.03,-83.90,"","",7
9985769,CALHOUN CO., ,01/28/1952,530,Tornado,0,F1,0,3,25000,0,FL,CST, , ,C,13, ,0,0, , ,.5,17,0, ,0, , ,01/28/1952,530,30.47,-85.25, , ,"","",8
10001440,DOUGHERTY CO., ,01/28/1952,600,Tornado,0,F1,0,1,25000,0,GA,CST, , ,C,95, ,0,0, , ,2,100,0, ,0, , ,01/28/1952,600,31.58,-84.17, , ,"","",9
10001441,WORTH CO., ,01/28/1952,630,Tornado,0,F2,0,0,25000,0,GA,CST, , ,C,321, ,0,0, , ,1,100,0, ,0, , ,01/28/1952,630,31.52,-83.78, , ,"","",10
9985770,LEON CO., ,01/28/1952,645,Tornado,0,F2,0,0,25000,0,FL,CST, , ,C,73, ,0,0, , ,1.5,33,0, ,0, , ,01/28/1952,645,30.50,-84.23, , ,"","",11
10001442,TIFT CO., ,01/28/1952,710,Tornado,0,F1,0,2,250000,0,GA,CST, , ,C,277, ,0,0, , ,.1,400,0, ,0, , ,01/28/1952,710,31.47,-83.50, , ,"","",12
10001443,EMANUEL CO., ,01/28/1952,730,Tornado,0,F1,0,1,2500,0,GA,CST, , ,C,107, ,0,0, , ,.1,33,0, ,0, , ,01/28/1952,730,32.58,-82.33, , ,"","",13
10123412,ORANGE CO., ,02/01/1952,1500,Tornado,0,F2,0,0,25000,0,TX,CST, , ,C,361, ,0,0, , ,1,67,0, ,0, , ,02/01/1952,1500,30.08,-93.77, , ,"","",14
10032661,CADDO PAR., ,02/13/1952,400,Tornado,0,F0,0,0,25000,0,LA,CST, , ,C,17, ,0,0, , ,1,133,0, ,0, , ,02/13/1952,400,32.98,-94.00, , ,"","",15
9983011,MISSISSIPPI CO., ,02/13/1952,1630,Tornado,0,F2,0,5,0,0,AR,CST, , ,C,93, ,0,0, , ,.3,33,0, ,0, , ,02/13/1952,1630,35.95,-90.15, , ,"","",16
10126030,BENTON CO., ,02/13/1952,1700,Tornado,0,F2,0,0,25000,0,TN,CST, , ,C,5, ,0,0, , ,.3,300,0, ,0, , ,02/13/1952,1700,36.00,-88.12, , ,"","",17
10063627,PEMISCOT CO., ,02/13/1952,1710,Tornado,0,F2,0,0,2500,0,MO,CST, , ,C,155, ,0,0, , ,4.5,100,0, ,0, , ,02/13/1952,1710,36.07,-89.93,36.12,-89.88,"","",18
10063628,PEMISCOT CO., ,02/13/1952,1720,Tornado,0,F2,0,0,0,0,MO,CST, , ,C,155, ,0,0, , ,2.3,100,0, ,0, , ,02/13/1952,1720,36.12,-89.88,36.15,-89.87,"","",19
10047285,NESHOBA CO., ,02/13/1952,1930,Tornado,0,F0,0,0,0,0,MS,CST, , ,C,99, ,0,0, , ,0,33,0, ,0, , ,02/13/1952,1930,32.77,-89.10, , ,"","",20
10126031,DAVIDSON CO., ,02/13/1952,1945,Tornado,0,F1,0,0,25000,0,TN,CST, , ,C,37, ,0,0, , ,.3,200,0, ,0, , ,02/13/1952,1945,36.05,-87.03, , ,"","",21
